"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",6532,1
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",17945,1
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",17480,1
"Adam Holloway ",,"Conservative","Gravesham",,
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",33008,3
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12774,1
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",7116,0
"Alan Mak ","@AlanMakMP","Conservative","Havant",10482,4
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10819,2
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",16106,4
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",6102,0
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",14185,7
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",22484,-3
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",9330,7
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",8306,1
"Alex Sobel","@alexsobel","Labour","Leeds North West",25698,-1
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",7122,3
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",18465,2
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",56214,-2
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",30758,-6
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",24223,1
"Alister Jack",,"Conservative","Dumfries and Galloway",,
"Allan Dorans","@allandoransMP","Scottish National Party","Ayr, Carrick and Cumnock",734,-1
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",72020,3
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",14017,4
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46101,3
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",22776,5
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",6069,-4
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",15359,2
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61604,1
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",124465,16
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",20770,22
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",42229,1
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",6338,0
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",51637,-3
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15946,0
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",5054,1
"Andrew Mitchell",,"Conservative","Sutton Coldfield",,
"Andrew Percy",,"Conservative","Brigg and Goole",,
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",22844,-2
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",21536,4
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",25113,1
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",5892,5
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",49428,4
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25894,-4
"Angela Crawley ","@AngelaCrawley30","Scottish National Party","Lanark and Hamilton East",13890,0
"Angela Eagle ","@angelaeagle","Labour","Wallasey",79435,-2
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",425236,251
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",13382,1
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",43843,1
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",17904,5
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",21943,0
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13874,2
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",30713,13
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",73513,25
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",5269,2
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",9085,-1
"Antony Higginbotham","@antony_hig","Conservative","Burnley",4032,3
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",36899,-13
